# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
7.31026e-06    	N/A	8.5778807e-05	2.2546548e-04	8.7748016e-05	1.2066441e-04	4.0412649e-04	N/A
7.34699e-06    	N/A	8.5584451e-05	2.2384771e-04	8.7593709e-05	1.2131152e-04	4.0244062e-04	N/A
7.38371e-06    	N/A	8.5469967e-05	2.2234373e-04	8.7492148e-05	1.2408454e-04	4.0093210e-04	N/A
7.42044e-06    	N/A	8.5387625e-05	2.2084611e-04	8.7453390e-05	1.2109909e-04	3.9876533e-04	N/A
7.45716e-06    	N/A	8.5216422e-05	2.1936020e-04	8.7289968e-05	1.1957741e-04	3.9694999e-04	N/A
7.49388e-06    	N/A	8.5006897e-05	2.1791422e-04	8.7109454e-05	1.1732202e-04	3.9500289e-04	N/A
7.53061e-06    	N/A	8.4850389e-05	2.1647131e-04	8.6954470e-05	1.1566672e-04	3.9310508e-04	N/A
7.56733e-06    	N/A	8.4647407e-05	2.1514715e-04	8.6778687e-05	1.2004368e-04	3.9153397e-04	N/A
7.60406e-06    	N/A	8.4450782e-05	2.1372596e-04	8.6612609e-05	1.1957524e-04	3.8977640e-04	N/A
7.64078e-06    	N/A	8.4324000e-05	2.1238757e-04	8.6500273e-05	1.1820336e-04	3.8812736e-04	N/A
7.6775e-06     	N/A	8.4170092e-05	2.1115445e-04	8.6371117e-05	1.1653595e-04	3.8631819e-04	N/A
7.71423e-06    	N/A	8.3981493e-05	2.0995000e-04	8.6196539e-05	1.1401033e-04	3.8445919e-04	N/A
7.75095e-06    	N/A	8.3812779e-05	2.0875524e-04	8.6047817e-05	1.1367611e-04	3.8285808e-04	N/A
7.78768e-06    	N/A	8.3658816e-05	2.0760398e-04	8.5893650e-05	1.1478985e-04	3.8146398e-04	N/A
7.8244e-06     	N/A	8.3520774e-05	2.0647744e-04	8.5729958e-05	1.1298867e-04	3.7984968e-04	N/A
7.86113e-06    	N/A	8.3348479e-05	2.0532426e-04	8.5560645e-05	1.1151813e-04	3.7808782e-04	N/A
7.89785e-06    	N/A	8.3216161e-05	2.0420254e-04	8.5420082e-05	1.1070839e-04	3.7648565e-04	N/A
7.93457e-06    	N/A	8.3038666e-05	2.0314270e-04	8.5234843e-05	1.0927344e-04	3.7482137e-04	N/A
7.9713e-06     	N/A	8.2861288e-05	2.0208546e-04	8.5032375e-05	1.1281851e-04	3.7370787e-04	N/A
8.00802e-06    	N/A	8.2758912e-05	2.0103328e-04	8.4892283e-05	1.0957429e-04	3.7175257e-04	N/A
8.04475e-06    	N/A	8.2544420e-05	2.0009709e-04	8.4655085e-05	1.1287179e-04	3.7055408e-04	N/A
