# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
7.95217e-05    	(5.0174891e+01 -8.4692288e-02 -4.2820570e+01)	1.0734173e+05	2.9168030e+02	1.2791493e+00
7.99559e-05    	(5.0475340e+01 -8.5671335e-02 -4.3077472e+01)	1.0730835e+05	2.9165290e+02	1.2788716e+00
8.039e-05      	(5.0708462e+01 -8.6162713e-02 -4.3275712e+01)	1.0728277e+05	2.9163155e+02	1.2786603e+00
8.08241e-05    	(5.0865797e+01 -8.6023333e-02 -4.3408087e+01)	1.0726616e+05	2.9161717e+02	1.2785253e+00
8.12583e-05    	(5.0944418e+01 -8.5421669e-02 -4.3472090e+01)	1.0725900e+05	2.9161014e+02	1.2784708e+00
8.16924e-05    	(5.0946178e+01 -8.4405715e-02 -4.3469510e+01)	1.0726114e+05	2.9161033e+02	1.2784955e+00
8.21265e-05    	(5.0875899e+01 -8.2839442e-02 -4.3404929e+01)	1.0727202e+05	2.9161732e+02	1.2785946e+00
8.25606e-05    	(5.0743773e+01 -8.0774313e-02 -4.3287581e+01)	1.0729038e+05	2.9163012e+02	1.2787575e+00
8.29948e-05    	(5.0566430e+01 -7.8108482e-02 -4.3131880e+01)	1.0731419e+05	2.9164716e+02	1.2789668e+00
8.34289e-05    	(5.0364069e+01 -7.4763279e-02 -4.2955138e+01)	1.0734098e+05	2.9166652e+02	1.2792015e+00
8.3863e-05     	(5.0159639e+01 -7.1099551e-02 -4.2777088e+01)	1.0736795e+05	2.9168601e+02	1.2794376e+00
8.42971e-05    	(4.9974583e+01 -6.7571834e-02 -4.2616267e+01)	1.0739250e+05	2.9170362e+02	1.2796532e+00
8.47313e-05    	(4.9825451e+01 -6.4593809e-02 -4.2486976e+01)	1.0741266e+05	2.9171782e+02	1.2798314e+00
8.51654e-05    	(4.9722866e+01 -6.2309070e-02 -4.2398367e+01)	1.0742717e+05	2.9172762e+02	1.2799614e+00
8.55995e-05    	(4.9671996e+01 -6.0729926e-02 -4.2355054e+01)	1.0743540e+05	2.9173255e+02	1.2800380e+00
8.60336e-05    	(4.9673498e+01 -5.9645027e-02 -4.2357704e+01)	1.0743728e+05	2.9173253e+02	1.2800604e+00
8.64678e-05    	(4.9723628e+01 -5.8712719e-02 -4.2402929e+01)	1.0743323e+05	2.9172792e+02	1.2800325e+00
8.69019e-05    	(4.9817543e+01 -5.7797472e-02 -4.2486479e+01)	1.0742384e+05	2.9171915e+02	1.2799590e+00
